BearID,year,reprostatus.represent,C13.suess,N15,AnnualMean.13C,
W0613,2005,WithMother,-23.31,4.97,,
W0614,2005,WithMother,-23.25,4.72,,
W0615,2005,WithMother,-23.28,5.01,,
W0616,2005,WithMother,-23.04,5.03,,
W0617,2005,WithMother,-23,4.91,,
W0618,2005,WithMother,-23.85,4.83,,
W0619,2005,WithMother,-23.81,4.93,,
W0620,2005,WithMother,-23.1,5.36,,
W0621,2005,WithMother,-23.39,4.53,,
W0622,2005,WithMother,-23.48,4.81,,
W0623,2005,WithMother,-23.06,5.43,,
W0217,2006,NA,-23.328,5.31,,
W0716,2006,NA,-23.068,4.13,,
W0720,2006,NA,-23.268,4.75,,
W0212,2006,SolitaryF,-23.588,5.09,,
W0303,2006,SolitaryF,-22.728,4.67,,
W0405,2006,SolitaryF,-23.028,5.04,,
W0410,2006,SolitaryF,-23.488,4.71,,
W0411,2006,SolitaryF,-23.748,5.11,,
W0415,2006,SolitaryF,-22.758,4.39,,
W0416,2006,SolitaryF,-23.118,4.52,,
W0422,2006,SolitaryF,-22.908,4.67,,
W0503,2006,SolitaryF,-23.108,4.74,,
W0507,2006,SolitaryF,-22.878,4.83,,
W0624,2006,SolitaryF,-23.048,4.57,,
W0626,2006,SolitaryF,-23.268,4.6,,
W0012,2006,SolitaryM,-23.278,5.92,,
W0625,2006,SolitaryM,-23.478,4.88,,
W0717,2006,SolitaryM,-23.238,6.13,,
W0717,2006,SolitaryM,-23.018,5.83,,
W0718,2006,SolitaryM,-23.298,5.66,,
W0719,2006,SolitaryM,-23.388,5.69,,
W9301,2006,SolitaryM,-23.278,5.57,,
W0018,2006,WithCubs,-23.318,4.71,,
W0107,2006,WithCubs,-22.908,4.75,,
W0209,2006,WithCubs,-23.488,4.75,,
W0517,2006,WithCubs,-23.288,4.57,,
W9403,2006,WithCubs,-23.148,4.82,,
W9615,2006,WithCubs,-23.158,4.95,,
W9806,2006,WithCubs,-23.318,4.63,,
W9814,2006,WithCubs,-22.858,4.17,,
W0618,2006,WithMother,-23.368,4.65,,
W0619,2006,WithMother,-23.488,4.72,,
W0701,2006,WithMother,-23.448,5.03,,
W0702,2006,WithMother,-23.488,5.25,,
W0703,2006,WithMother,-23.408,5.35,,
W0704,2006,WithMother,-23.338,5.47,,
W0705,2006,WithMother,-23.218,5.18,,
W0706,2006,WithMother,-22.888,5.24,,
W0707,2006,WithMother,-22.798,5.12,,
W0708,2006,WithMother,-23.278,5.35,,
W0709,2006,WithMother,-23.118,5.46,,
W0710,2006,WithMother,-23.428,5.33,,
W0711,2006,WithMother,-23.268,5.61,,
W0712,2006,WithMother,-23.218,5.12,,
W0713,2006,WithMother,-23.298,5.05,,
W0826,2007,NA,-23.226,5.21,,
W504,2007,NA,-22.636,4.68,,
W0217,2007,SolitaryF,-22.856,4.77,,
W0411,2007,SolitaryF,-23.306,4.77,,
W0422,2007,SolitaryF,-22.816,4.62,,
W0503,2007,SolitaryF,-22.826,4.86,,
W0507,2007,SolitaryF,-22.846,4.16,,
W0610,2007,SolitaryF,-22.746,4.01,,
W0620,2007,SolitaryF,-22.986,4.61,,
W0624,2007,SolitaryF,-22.886,4.83,,
W0626,2007,SolitaryF,-23.216,4.29,,
W0013,2007,SolitaryM,-22.696,5.53,,
W0101,2007,SolitaryM,-23.386,4.8,,
W0228,2007,SolitaryM,-22.976,5.26,,
W0424,2007,SolitaryM,-23.396,7.14,,
W0612,2007,SolitaryM,-23.066,4.59,,
W0613,2007,SolitaryM,-22.876,4.38,,
W0625,2007,SolitaryM,-22.996,4.79,,
W0719,2007,SolitaryM,-23.126,5.34,,
W0801,2007,SolitaryM,-22.906,6.18,,
W0802,2007,SolitaryM,-22.896,5.58,,
W0803,2007,SolitaryM,-22.916,5.73,,
W0804,2007,SolitaryM,-23.266,5.36,,
W0805,2007,SolitaryM,-23.366,6.18,,
W0827,2007,SolitaryM,-23.556,4.14,,
W9301,2007,SolitaryM,-23.216,4.87,,
W0004,2007,WithCubs,-23.076,4.24,,
W0010,2007,WithCubs,-22.766,3.7,,
W0231,2007,WithCubs,-23.126,4.6,,
W0237,2007,WithCubs,-22.976,4.01,,
W0326,2007,WithCubs,-22.646,4.25,,
W0425,2007,WithCubs,-22.796,4.23,,
W9903,2007,WithCubs,-22.796,4.07,,
W0713,2007,WithMother,-23.166,5.36,,
W0806,2007,WithMother,-23.026,4.14,,
W0807,2007,WithMother,-23.146,4.3,,
W0808,2007,WithMother,-23.336,4.92,,
W0809,2007,WithMother,-23.166,5.25,,
W0810,2007,WithMother,-23.316,4.95,,
W0811,2007,WithMother,-23.216,4.83,,
W0812,2007,WithMother,-23.236,4.81,,
W0814,2007,WithMother,-23.256,4.69,,
W0815,2007,WithMother,-22.886,4.5,,
W0816,2007,WithMother,-22.626,4.63,,
W0817,2007,WithMother,-22.806,4.54,,
W0818,2007,WithMother,-22.836,4.15,,
W0819,2007,WithMother,-23.116,4.63,,
W0820,2007,WithMother,-22.976,4.6,,
W0821,2007,WithMother,-22.796,4.68,,
W0822,2007,WithMother,-23.146,4.51,,
W0823,2007,WithMother,-23.116,4.5,,
W0824,2007,WithMother,-23.036,4.59,,
W0825,2007,WithMother,-22.716,4.51,,
W0004,2008,SolitaryF,-22.874,4.06,,
W0411,2008,SolitaryF,-23.204,4.85,,
W0422,2008,SolitaryF,-22.814,4.18,,
W0425,2008,SolitaryF,-22.944,4.31,,
W0503,2008,SolitaryF,-23.004,4.71,,
W0507,2008,SolitaryF,-22.574,4.39,,
W0610,2008,SolitaryF,-22.984,4.36,,
W0611,2008,SolitaryF,-23.174,4.06,,
W0616,2008,SolitaryF,-23.034,4.39,,
W0620,2008,SolitaryF,-22.804,4.69,,
W0621,2008,SolitaryF,-22.634,4.33,,
W0622,2008,SolitaryF,-23.364,4.53,,
W0623,2008,SolitaryF,-22.894,4.28,,
W0703,2008,SolitaryF,-22.974,4.17,,
W0806,2008,SolitaryF,-23.244,3.71,,
W0813,2008,SolitaryF,-23.724,4.13,,
W0814,2008,SolitaryF,-24.164,3.67,,
W0818,2008,SolitaryF,-22.844,3.34,,
W0820,2008,SolitaryF,-23.004,3.66,,
